StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Participant ID,Current classes,Current classes_4_TEXT,Q35,Q35_4_TEXT,OS,OS_4_TEXT,Computer age,Laptop issues,Q30,Q31,Q32,R use#1_1,R use#2_1,Anxiety#1_1,Anxiety#1_2,Anxiety#2_1,Anxiety#2_2,Computing programs#1_1,Computing programs#1_2,Computing programs#1_3,Computing programs#1_4,Computing programs#2_1,Computing programs#2_2,Computing programs#2_3,Computing programs#2_4,R skills#1_1,R skills#1_2,R skills#1_3,R skills#1_4,R skills#1_5,R skills#1_6,R skills#1_7,R skills#1_8,R skills#1_9,R skills#1_10,R skills#2_1,R skills#2_2,R skills#2_3,R skills#2_4,R skills#2_5,R skills#2_6,R skills#2_7,R skills#2_8,R skills#2_9,R skills#2_10,Math skills#1_1,Math skills#1_2,Math skills#1_3,Math skills#1_4,Math skills#1_5,Math skills#1_6,Math skills#1_7,Math skills#1_8,Math skills#2_1,Math skills#2_2,Math skills#2_3,Math skills#2_4,Math skills#2_5,Math skills#2_6,Math skills#2_7,Math skills#2_8,External help_1,External help_2,External help_3,Perseverance,Computer savviness,Effort,Engagement,Future classes#1_1,Future classes#2_1,Job search,Dream job,Age,Gender,Race,Ethnicity,Major,Academic standing,Categories_1,Categories_2,Categories_3,Categories_4,High school math,High school particip
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Thank you for taking the time to participate in this survey!

 

Title of Project: Investigating pedagogical approaches for teaching quantitative and computational skills to non-math majors

Principal Investigator: Dr. Miguel Acevedo


Please read the information below carefully before you decide to participate in this research study. Your participation is voluntary.  You can decide not to participate or later decide to stop participating at any time without penalty or lose any benefits that would normally be expected.


	Purpose of the Study: The purpose of this research study is to investigate pedagogical approaches for teaching both computational and quantitative/statistical skills to non-math major undergraduate students.



	What will you be asked to do: You will be asked to answer questions regarding your experience with R and classes with quantitative components.



	Time Required:  It will take about 15 minutes to participate in the research.



	Research Benefits:  There are no direct benefits to you for being in this study. There may be a benefit to others depending on the results of this study.



	Research Risks: There are no risks or discomforts anticipated.



	Statement of Confidentiality: Your participation in this research is confidential.   Information collected about you will be stored in computers with security passwords or in locked filing cabinets. Only certain people have the legal right to review these research records, and they will protect the secrecy (confidentiality) of these records as much as the law allows.  These people include the researchers for this study, certain University of Florida officials, and the Institutional Review Board (IRB; an IRB is a group of people who are responsible for looking after the rights and welfare of people taking part in research). Otherwise your research records will not be released without your permission unless required by law or a court order.  The researchers will not share your name or other identifiable information about you if they publish, present, or share the results this research.     



	Who to contact if you have questions: Please contact Miguel Acevedo at (352) 846-0575 with questions or concerns about this study. 



	Voluntary Participation: Your decision to be in this research is voluntary. You do not have to do any study activities that you do not want to take part in.  You can stop at any time. If you decide you want to stop participating in the research, you can let the research team know or call the Principal Investigator at any time at (352) 846-0575.   If you choose not to take part, this will have no effect on you or your relationships with the University of Florida.  If you have any questions about your rights as a research subject, you can phone the Institutional Review Board at 352-273-9600.

Participation in the research implies that you have read the information in this form and consent to take part in the research. Please save a copy of this form for your records or future reference.

If you want to participate in this research study, select ""I consent"" below.  If you do not want to participate, you may simply close this window or select ""I do not consent"" below.",What is your unique participant ID generated using this link?,Which of the following courses using R are you taking this semester? - Selected Choice,Which of the following courses using R are you taking this semester? - Other - Text,Which of the following courses using R have you taken previously? - Selected Choice,Which of the following courses using R have you taken previously? - Other - Text,What type of operating system (OS) did you primarily use for this class? - Selected Choice,What type of operating system (OS) did you primarily use for this class? - Other - Text,Roughly how old is the computer you primarily used for this class?,"During this past semester, how often did problems with your primary laptop (e.g., battery life, slowness, connectivity issues, etc.) negatively impact your performance in this class?","Providing as much detail as you can, please describe how you would produce a graph for a lab report or presentation using whichever program or software you prefer if asked to do so today.",What challenges do you feel stand in your way for learning R?,What benefits do you see coming from using R or other programming languages?,Answer the following questions about your experiences with R before and after this semester. - Before this semester - How likely would you be to use R to analyze data?,Answer the following questions about your experiences with R before and after this semester. - After this semester - How likely would you be to use R to analyze data?,"  - Before this semester - How would you rate your anxiety surrounding computer programming tasks (e.g., using R)?","  - Before this semester - How would you rate your anxiety surrounding mathematical concepts and problems?","  - After this semester - How would you rate your anxiety surrounding computer programming tasks (e.g., using R)?","  - After this semester - How would you rate your anxiety surrounding mathematical concepts and problems?",How would you rate your overall proficiency in the following programs? - Before this semester - R,"How would you rate your overall proficiency in the following programs? - Before this semester - Spreadsheets (e.g., Excel, GoogleSheets)","How would you rate your overall proficiency in the following programs? - Before this semester - Other coding languages (e.g., Python, C++, SAS, MATLAB, etc.)","How would you rate your overall proficiency in the following programs? - Before this semester - Graphical user interface-based (GUI) statistical software programs (e.g., JMP, Minitab, SPSS, etc.)",How would you rate your overall proficiency in the following programs? - After this semester - R,"How would you rate your overall proficiency in the following programs? - After this semester - Spreadsheets (e.g., Excel, GoogleSheets)","How would you rate your overall proficiency in the following programs? - After this semester - Other coding languages (e.g., Python, C++, SAS, MATLAB, etc.)","How would you rate your overall proficiency in the following programs? - After this semester - Graphical user interface-based (GUI) statistical software programs (e.g., JMP, Minitab, SPSS, etc.)",How would you rate your proficiency in the following skills in R? - Before this semester - Importing data,How would you rate your proficiency in the following skills in R? - Before this semester - Formatting data,How would you rate your proficiency in the following skills in R? - Before this semester - Plotting a figure,How would you rate your proficiency in the following skills in R? - Before this semester - Creating a for-loop,How would you rate your proficiency in the following skills in R? - Before this semester - Creating a function,How would you rate your proficiency in the following skills in R? - Before this semester - Using external packages in R,How would you rate your proficiency in the following skills in R? - Before this semester - Debugging and troubleshooting,How would you rate your proficiency in the following skills in R? - Before this semester - Annotating/documenting code,How would you rate your proficiency in the following skills in R? - Before this semester - Data summarization,How would you rate your proficiency in the following skills in R? - Before this semester - RMarkdown,How would you rate your proficiency in the following skills in R? - After this semester - Importing data,How would you rate your proficiency in the following skills in R? - After this semester - Formatting data,How would you rate your proficiency in the following skills in R? - After this semester - Plotting a figure,How would you rate your proficiency in the following skills in R? - After this semester - Creating a for-loop,How would you rate your proficiency in the following skills in R? - After this semester - Creating a function,How would you rate your proficiency in the following skills in R? - After this semester - Using external packages in R,How would you rate your proficiency in the following skills in R? - After this semester - Debugging and troubleshooting,How would you rate your proficiency in the following skills in R? - After this semester - Annotating/documenting code,How would you rate your proficiency in the following skills in R? - After this semester - Data summarization,How would you rate your proficiency in the following skills in R? - After this semester - RMarkdown,How would you rate your proficiency in the following quantitative skills? - Before this semester - Hypothesis testing and experimental design,"How would you rate your proficiency in the following quantitative skills? - Before this semester - Calculating measures of central tendency (e.g., mean, median) or variance","How would you rate your proficiency in the following quantitative skills? - Before this semester - Using statistical tests to compare means (e.g., ANOVA, t-test)",How would you rate your proficiency in the following quantitative skills? - Before this semester - Linear regression analysis,How would you rate your proficiency in the following quantitative skills? - Before this semester - Model output (parameter) interpretation,How would you rate your proficiency in the following quantitative skills? - Before this semester - Comparing fit among models,How would you rate your proficiency in the following quantitative skills? - Before this semester - Exploratory data analysis,How would you rate your proficiency in the following quantitative skills? - Before this semester - Relating ecological/biological questions to quantitative models,How would you rate your proficiency in the following quantitative skills? - After this semester - Hypothesis testing and experimental design,"How would you rate your proficiency in the following quantitative skills? - After this semester - Calculating measures of central tendency (e.g., mean, median) or variance","How would you rate your proficiency in the following quantitative skills? - After this semester - Using statistical tests to compare means (e.g., ANOVA, t-test)",How would you rate your proficiency in the following quantitative skills? - After this semester - Linear regression analysis,How would you rate your proficiency in the following quantitative skills? - After this semester - Model output (parameter) interpretation,How would you rate your proficiency in the following quantitative skills? - After this semester - Comparing fit among models,How would you rate your proficiency in the following quantitative skills? - After this semester - Exploratory data analysis,How would you rate your proficiency in the following quantitative skills? - After this semester - Relating ecological/biological questions to quantitative models,Answer the following questions about your level of ease in finding external help: - How comfortable do you feel with finding help from your classmates with R?,"Answer the following questions about your level of ease in finding external help: - How comfortable do you feel with finding help from the internet (e.g., YouTube videos, StackExchange, etc.) with R?","Answer the following questions about your level of ease in finding external help: - How comfortable do you feel using official R documentation (e.g., R help files, vignettes)?","In general, when faced with an issue in R, how long do you spend working on it before you give up trying to deal with it?","In general, how would you rate your level of technological proficiency?",How much effort was required to accomplish your level of performance in this course?,"In your opinion, in a typical week of class, how engaged were you in the course (e.g., watching/reading required material before class, attending lectures/labs, completing assignments, etc.)?",Answer the following question about your interest in future quantitative courses: - Before this semester - How interested are you in taking classes with quantitative content in the future?,Answer the following question about your interest in future quantitative courses: - After this semester - How interested are you in taking classes with quantitative content in the future?,To what degree do you think your R coding skills will be helpful in your future job search?,"How interested are you in a career that requires computational skills (i.e. uses R, Python, etc. regularly)?",How old are you?,How do you describe yourself?,Choose one or more races that you consider yourself to be,"Are you of Spanish, Hispanic, or Latino origin?",What is your major?,What is your current academic standing?,Indicate whether you fall into any of the following categories: - Transfer student,Indicate whether you fall into any of the following categories: - Nontraditional student,Indicate whether you fall into any of the following categories: - First generation student,Indicate whether you fall into any of the following categories: - Minority in STEM,Did your high school offer computer science/programming or advanced mathematics classes?,Did you take any computer science/programming or advanced mathematics classes in high school?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID39""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_4_TEXT""}","{""ImportId"":""QID52""}","{""ImportId"":""QID52_4_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_4_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID23#1_1""}","{""ImportId"":""QID23#2_1""}","{""ImportId"":""QID24#1_1""}","{""ImportId"":""QID24#1_2""}","{""ImportId"":""QID24#2_1""}","{""ImportId"":""QID24#2_2""}","{""ImportId"":""QID25#1_1""}","{""ImportId"":""QID25#1_2""}","{""ImportId"":""QID25#1_3""}","{""ImportId"":""QID25#1_4""}","{""ImportId"":""QID25#2_1""}","{""ImportId"":""QID25#2_2""}","{""ImportId"":""QID25#2_3""}","{""ImportId"":""QID25#2_4""}","{""ImportId"":""QID26#1_1""}","{""ImportId"":""QID26#1_2""}","{""ImportId"":""QID26#1_3""}","{""ImportId"":""QID26#1_4""}","{""ImportId"":""QID26#1_5""}","{""ImportId"":""QID26#1_6""}","{""ImportId"":""QID26#1_7""}","{""ImportId"":""QID26#1_8""}","{""ImportId"":""QID26#1_9""}","{""ImportId"":""QID26#1_10""}","{""ImportId"":""QID26#2_1""}","{""ImportId"":""QID26#2_2""}","{""ImportId"":""QID26#2_3""}","{""ImportId"":""QID26#2_4""}","{""ImportId"":""QID26#2_5""}","{""ImportId"":""QID26#2_6""}","{""ImportId"":""QID26#2_7""}","{""ImportId"":""QID26#2_8""}","{""ImportId"":""QID26#2_9""}","{""ImportId"":""QID26#2_10""}","{""ImportId"":""QID43#1_1""}","{""ImportId"":""QID43#1_11""}","{""ImportId"":""QID43#1_12""}","{""ImportId"":""QID43#1_13""}","{""ImportId"":""QID43#1_14""}","{""ImportId"":""QID43#1_2""}","{""ImportId"":""QID43#1_3""}","{""ImportId"":""QID43#1_15""}","{""ImportId"":""QID43#2_1""}","{""ImportId"":""QID43#2_11""}","{""ImportId"":""QID43#2_12""}","{""ImportId"":""QID43#2_13""}","{""ImportId"":""QID43#2_14""}","{""ImportId"":""QID43#2_2""}","{""ImportId"":""QID43#2_3""}","{""ImportId"":""QID43#2_15""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID27_2""}","{""ImportId"":""QID27_3""}","{""ImportId"":""QID28""}","{""ImportId"":""QID44""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID46#1_1""}","{""ImportId"":""QID46#2_1""}","{""ImportId"":""QID33""}","{""ImportId"":""QID45""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID3""}","{""ImportId"":""QID2""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_9""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}"
2024-04-09 08:17:30,2024-04-09 08:24:31,0,128.227.1.41,100,420,1,2024-04-09 08:24:32,R_5vkLzSzutzu4UDw,,,,,29.6138,-82.386,anonymous,EN,1,f8fafe21,4,ALS 6502,,,1,,2,3,"I would use ggplot2 as the basis for generating most graphs, especially for bar plots. ","Especially for microbial ecology, there are plenty of tools but few ways in which to learn the statistics behind the tools. The basics have great documentation, but the more advanced statistics assumes you already have the knowledge.","R is widely used in statistics in biology. Scientific papers, colleagues, labs, and whole fields rely on R, sometimes exclusively.",4,5,2,4,3,5,2,2,1,1,3,2,1,1,2,2,3,2,2,4,3,2,3,2,3,2,4,2,2,5,,4,4,2,2,2,3,2,2,1,2,2,2,3,3,4,4,3,4,4,2,4,3,3,2,4,3,2,4,4,4,26,1,1,2,Nematology,7,2,2,1,2,1,1
2024-04-09 08:18:26,2024-04-09 08:25:31,0,128.227.251.1,100,424,1,2024-04-09 08:25:32,R_1pLIiGdWYpdySND,,,,,29.6825,-82.3606,anonymous,EN,1,c8d64cc7,4,ALS6502,,,1,,1,2,"I would download data and use ggplot in R to construct a graph ","was not taught step by step so it was overwhelming at first (not taught by teacher at UF) ","learning tech of the future is important! ",2,5,5,5,3,4,2,4,1,1,3,4,1,1,3,2,2,1,2,2,2,2,2,2,5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,,3,3,3,3,3,3,3,3,5,4,3,3,3,4,1,3,5,4,22,2,1,2,"medical entomology ",7,2,2,2,1,2,
2024-04-09 08:18:30,2024-04-09 08:26:26,0,198.232.125.38,100,475,1,2024-04-09 08:26:27,R_7v9fFUje2SdgzZv,,,,,29.6467,-82.3284,anonymous,EN,1,1f291513,4,Linear models in agriculture & natural resources,,,2,,1,1,I would use ggplot in R,None,Ability to manipulate large datasets and track changes made to identify errors and adjust,5,5,4,4,4,4,,3,1,1,,3,1,1,5,4,3,2,2,2,2,2,2,3,5,5,4,2,2,3,3,4,3,4,2,4,3,2,2,2,2,2,4,5,4,4,3,4,4,4,3,3,2,4,3,3,5,5,5,4,3,25,2,2,2,Environmental Engineering Sciences,7,2,2,1,1,1,1
2024-04-09 08:18:25,2024-04-09 08:27:48,0,128.227.1.41,100,562,1,2024-04-09 08:27:48,R_7ieeC8aUvJdzPzS,,,,,29.6138,-82.386,anonymous,EN,1,15aff222,4,Linear Models in Agriculture and Natural Resources,,,2,,4,4,"I would use GGPlot ",I often struggle to apply concepts to my own research. Some concepts are easily applied while others are not.,R is definitely better for organizing and manipulating data than excel or other spreadsheet processors.,2,5,3,2,2,2,2,5,1,2,3,5,1,2,5,2,1,1,1,3,2,2,3,1,5,3,3,1,3,3,3,4,3,1,3,5,3,4,3,3,4,4,4,5,4,5,4,4,5,4,3,5,5,3,4,4,4,4,4,5,4,30,1,1,2,"Soil, Water, Ecosystems Sciences",7,2,2,2,2,2,
2024-04-09 08:18:56,2024-04-09 08:28:55,0,68.105.171.123,100,599,1,2024-04-09 08:28:56,R_1hNv4HKiASj7GzD,,,,,29.6825,-82.3606,anonymous,EN,1,2d7b4a5f,4,Linear Models,,,2,,1,2,"I would use the ggplot package in R and use whatever plot was appropriate for the data i.e. boxplot, etc. Or use base R and do some basic visualization. I think it would depend on the data, but my preference would be coding out something using ggplot in R. ",Time,"I see the benefit of being able to use R because it is a free software that is becoming more and more popular, meaning that it is hopefully a transferrable skill and makes data analysis and science over all more 'open'. Ideally someone with basic experience in R should be able to read my code and notations and understand the analysis I was trying to do, run that analysis, and even use parts of my code for their work if needed. ",5,5,3,3,3,3,2,3,2,1,3,3,2,1,4,3,3,2,3,4,4,4,2,2,4,3,4,2,3,4,4,4,3,2,2,3,3,1,2,2,3,2,3,4,4,3,4,4,4,4,3,4,4,3,3,3,4,4,5,3,3,26,2,1,2,Forest Resources and Conservation,7,2,2,2,2,2,
2024-04-09 08:18:23,2024-04-09 08:29:17,0,128.227.1.36,100,653,1,2024-04-09 08:29:18,R_1o0kPuFdKBD3vNp,,,,,29.6138,-82.386,anonymous,EN,1,add496c8,4,ALS6502C,,,2,,1,2,"I would use excel. ","i dont know the coding language 
","it's free
R is commonly used in ecology 
there are several resources for learning r ",,5,,,5,3,1,3,2,1,3,3,2,1,1,1,2,1,1,1,1,1,1,1,5,3,4,1,5,5,3,5,5,1,3,3,3,3,3,4,2,2,4,5,5,5,5,4,5,5,3,5,5,4,2,3,4,,3,4,1,24,2,6,1,entomology,7,2,2,1,1,2,
2024-04-09 08:19:29,2024-04-09 08:29:41,0,70.171.56.24,100,612,1,2024-04-09 08:29:42,R_1CwGu4RjMQOIRbD,,,,,29.6138,-82.386,anonymous,EN,1,79318020,4,ALS 6093 & ALS 6502C,,,2,,2,1,Normally I would use excel because that is what I am used to.,R allows you to make some very detailed and minute changes to figures but it is not an intuitive system. It takes too many steps to move a title or legend slightly over when I could just highlight it and manually move it myself in other programs.,"more detailed data analysis capabilities ",4,5,4,5,4,5,2,4,1,1,3,4,1,1,2,3,2,1,1,2,2,2,2,1,4,4,2,1,1,4,3,3,4,1,2,3,2,2,1,1,2,1,3,4,3,3,3,3,4,3,3,4,2,2,3,5,4,4,4,4,1,39,2,4,1,Entomology,7,2,2,2,2,2,
2024-04-09 08:18:48,2024-04-09 08:31:43,0,45.19.17.45,100,775,1,2024-04-09 08:31:44,R_3Fem2NAQ7rCelfv,,,,,29.797,-81.9884,anonymous,EN,1,90ed4aea,4,ALS6502C Linear Models in Agriculture and Natural Sciences,,,1,,4,1,"I would use excel for data entry and save the completed file as a csv. Then I would use R to produce a graph of the data. ","Zero background in statistics and computer coding. I have taken R coding classes when I first started my program, but they were only moderately helpful. Most assume some level of understanding or background in how computers communicate, which I do not have. My statistics background is very limited and trying to translate a statistical question into a computer language proves more than a little difficult. ","It provides a powerful and malleable way to examine data. ",4,5,5,5,3,4,2,5,1,1,3,5,1,1,2,1,1,1,1,1,1,1,1,1,3,3,3,1,3,4,3,4,3,1,3,2,1,1,1,1,1,2,5,4,3,3,3,3,3,4,2,2,1,6,1,5,5,2,4,5,5,37,2,1,2,Entomology,7,,1,1,1,2,
