"ResponseId","Participant.ID","group_4","EssayProduceAGraph","EssayLearningR","EssayRBenefits"
"R_7DnKvgHKdzBU945","00a378fb","Advanced only","ggplot(data, x,y) 
or I would plot(data) depending on what I working on","Understanding everything that going on a function","I see several benefits including a higher pay in the job market, easy way to get through large datasets for research. "
"R_75sID0OkdTXb0Bq","03729e35","R Class only","I would probably use ggplot in R","The way R is taught in a lot of other classes, you’re given code to use, but it’s never fully explained. That’s been my biggest challenge in learning R, but this class helped a lot by starting with the basics","I feel like learning R in undergrad will help give me a leg up when I’m applying to graduate school. I also was able to get a job for post grad because I have experience working with coding"
"R_571lPzwWzzAdRIc","0b417575","R Class concurrent with advanced","In Rstudio, I would:
-import the required data using read.table or read.csv depending on the file type
-define the parameters I desire as a dataset using data=somedata$example etc.
-use plot(data)","Time. There is so much to learn it feels like we only scratched the surface in this course","R is a useful tool for data analyzation. I hope it will be used in my future career "
"R_13yvyzxxBEDs3Uq","0bac740a","R Class concurrent with advanced","I would still use Excel/Powerpoint/word for graphs unless it was a scientific paper","Time, it’s hard to make time for assignments while balancing all my other classes","It’s good for math, stats, graphs, and quantitative analysis "
"R_5qrdMH04vd756fh","0bac740a","R Class concurrent with advanced","If it was an easy graph I would still use google docs or Excel because I still find those easier at this point. A more advanced graph or one that used more scientific data would be better to make in R. I know the plot, barplot, and hist functions fairly well and could make graphs with those. The other types of graphs I could also do as long as we did them in class because I downloaded all the lab assignments.","I just need more time to practice. I also need to be forced to practice because I won’t want to do it in my free time. Having to write my own code has been the most helpful way of learning it.","It would make you very competitive I think in the job market. Also if you ever needed to take a remote job for a while, being able to use R is probably a good way to secure that."
"R_7MMwN8miTt5C6Od","133752","R Class only","","",""
"R_6iqivNiwpdME0p3","14dbf9be","R Class concurrent with advanced","I would use the ggplot package in R to create a graph ","Previously I felt like I didn’t have a lot of computer science experience and that made me feel unsure about using R but I am more confident now after taking a class on R and a few classes that have used it ","Being able to pursue a quantitative ecology-related field in the future and having more jobs available to me because of having skills in R"
"R_3V7x1PnG1Chv3KW","14dbf9be","R Class concurrent with advanced","I would use the ggplot2 package in R and the normal function for whatever graph desired (hist, barplot, etc.) with the variables (x,y), and labels for the main title, x-axis, and y-axis, and whatever desired colors. ","I'm not very tech-savy","More job opportunities involving R
More possibilities for research and data analysis being able to use R"
"R_5X8rXYIb3NpVnSV","1eeb4ea7","Advanced only","Using Rstudio","None. There are a lot of different ways to do something, but there is information and tutorials online. ","Being able to visually interpret data and present it to others in a clear way. Also being able to predict how populations will react to changes. "
"R_3gUtEr6ow1ynAVK","22192819","Advanced only","Most likely using R. I do not know much about other coding programs, so R would be the best way to go considering my previous instruction with it. I would look over past assignments to see what code I need as well as google what other commands and packages there are. Likewise I would ask the PhD student in my lab for help. ","I feel like it’s very finicky, and not well known. My partner is really into computer science and coding, and they don’t understand R very well at all and say that it’s not too great of a program. I know it gets the job done for wildlife studies, but a comprehensive and easy guide for it would be so helpful considering I have nobody I can call at 1 am to help me. ","I think R is pretty good for just doing wildlife type stuff. Though Python would probably be easier, I think that because R is so focused on scientific uses, it’s easier to have something like that. One track mind. "
"R_7j0tuo3edNUOfSN","22660ef5","Advanced only","I would use R over posit cloud and probably use base R directions to create a graph depending on the data that I need to visualize. If the graph was more complicated I would probably use gg plot in posit cloud. ","Learning how to code with R probably is the biggest challenge. I don't have technological challenges but just understanding the language R uses was probably the biggest challenge. Luckily, I have some coding experience going into this that I have accumulated throughout my education. ","Being technologically savvy in a world/field that is becoming more and more tech heavy. Very helpful to have these skills under my belt when entering the workforce. "
"R_5KYQ5vqa3zKn83L","24ef6bbc","Advanced only","I would create the graph in R, specifically using the ggplot package to make it neater and faster to create.","Memorization. I often forget what commands mean and struggle to type out long lines of code without the help of a reference or the internet. Once I start, I can code for a while, but sometimes I become stumped due to forgetting commands or formatting.","I haven't used other programming languages and have only worked in R, so I cannot compare R to other programs, but I find the interface relatively easy to understand and use."
"R_8cEQXgT2aLmP3W1","24ef6bbc","Advanced only","I would format the data into R studio and make sure it was correctly loaded. Then I would examine the data to see which type of graph would fit best. Lastly, I would create my graph using the ggplot2 package because I believe that ggplot is much easier to use for graph creation than base R.","My biggest issue is memorization. I find it hard to remember what commands do what or I forget certain commands and I'm forced to look up guides online all the time. Of course, there's nothing wrong with using the internet for help, but I think having better memorization skills will just make my learning process much faster and make my coding abilities faster too.","I think R studio is more beneficial because it holds your hand and provides more guidance than standard R. I've never used other programming languages. Hence, it's hard to compare R to other languages. Still, between the two versions of R I've tried I think the extra help provided by R studio is extremely nice, especially for a beginner like myself."
"R_7iVdaMFeMRD2d2q","30e0cd63","None","R or python","It is crucial to comprehend the reasoning and arguments presented in the background.","It is easy to plot in a customized way."
"R_3XM624W6VM230KB","328dda81","R Class concurrent with advanced","Using R
1) Download necessary data
2) View data and make sure there are no errors
3) Depending on what type of info we are needing to display would determine the graph I chose: plot(), hist(), barplot() 
4) Then I would make sure the correct data is selected for x and y axis, include a title, label my axis, include a legend and figure caption. ","None in particular. 
","Using R can be an amazing skill to use for future careers when dealing with statistics, probabilities, data, graphs, and math.  Programming is a unique language and shows that I’m adaptable to learning complex skills. "
"R_14aVoIx8oZL1wnT","38321992","R Class before advanced","I would use R to produce graphs, much easier than microsoft or google and if you make mistakes it is easy to notice.","Trying to answer more of the complex coding questions instead of starting with the basics","many job opportunities in the future"
"R_3vZiUFJdan8L98t","3865c186","R Class concurrent with advanced","","",""
"R_1qeUzjNACx1WjAb","398f5a9b","R Class only","Through R, I would input the data into a project, then use a plot() function to create a graph. I would use various arguments to create labels, add color, and any other keys that I would want. ","There is a lot of language to learn, and it can be hard to know exactly what code to use in what exact order to make it run properly. Even a simple mistake can mess up the entire thing. ","I feel better prepared to handle data I get from field work, as well as more experienced and equipped for research. "
"R_2xHAeFsrQg2oZfb","3d22f136","Advanced only","Typically, I would make a graph in Excel, since the program easily allows for one to construct a graph from a table. However, since I have been using R, I've found that it is also helpful for constructing graphs, which are typically done using a function that pulls data from a table. ","I do not feel that there are many major challenges for me in learning R, I would say there may be certain knowledge gaps since I am still in the process of really learning how to use the program for statistical purposes.","One benefit from using R is that it may help me in future careers, especially those related to studying wildlife populations, since R is an excellent tool for modeling wildlife populations and running statistical tests on those populations.  "
"R_2Rgf36jx4CKB2Hf","419e0d23","R Class only","If asked to do so today, I would produce a graph for a lab report or presentation using R by importing the necessary dataset into the program, installing appropriate packages and loading libraries, and then organizing the data in a manner that would allow me to use functions such as 'plot' to visualize the data. I would also add a chart title, axes titles, and adjust the ranges of the axes as needed, as well as add a caption.","One challenge that I feel stands in my way for learning R is consistent practice in order to truly learn how to use the program rather than simply memorize how to complete certain assignments. In addition, I believe there will likely be ""imperfect"" cases that I may struggle to problem-solve at first. In other words, there will be a need to troubleshoot issues that were not encountered in the homework assignments.","There are many benefits that I see coming from using R or other programming languages, such as being able to interpret and work with data more efficiently as well as being to share work and problem-solve with others. It can be a great way to visualize and manage larger sets of data."
"R_7OoS00UCkalOwXr","44391174","Advanced only","You would make the data set into a variable.  Then depending in what graph, you would run the function and add the necessary add ons. ","I do not have any challenges with learning R","R is so useful when creating population models and predicting populations. "
"R_6vHYVwYH9zK77CF","4f500035","R Class only","After creating a data frame or vector of my data in R, I would use functions such as plot(), hist(), scatter(), etc. to create my graph, depending on what type of graph I am trying to produce. ","The most challenging part is not having ample resources that I understand. Having the lectures from this course and a professor or TA to ask questions are both very valuable resources. Without them, figuring out code would be much harder in some instances. ","R is a great language to organize, analyze, and visually display data. If I ever conduct any research of my own, I would definitely choose R over other data analysis tools such as excel. "
"R_5Fgr5aeaA8z050Z","5432ef61","R Class only","If asked to produce a graph for a lab report, I would most likely use R or Microsoft excel, depending on the format of the data. I feel comfortable uploading data to R, and then turning it into a presentable graph with labeled axes, title, legend, and any other component necessary.","I feel like it is sometimes hard to figure out the best way to organize my R code, but as long as I keep my mind to it and use resources available like lectures, cheat sheets, and the internet I will be able to figure things out.","I see major benefits when it comes to applying for internships and jobs, as well as for my professional career when I will be doing data analysis. Learning R has been worth the time and effort in this class."
"R_6rBCPF0SZa5v6Ij","5d3d9aa0","Advanced only","If given the choice, I would produce a graph in Excel for a lab report or presentation. I would have the data in the excel sheet and using the graphing functions on Excel to produce a graph by highlighting the data I want displayed. I would then change the way the graph looks using the editing tools.","I don't face significant challenges in learning R. I may be able to learn it better if I took another course on it just for more experience.","R simplifies some statistical analysis and can make nice figures. I am more confident in Excel but can see that learning R is a beneficial skill for me. It will make me more hire-able and competent in the field."
