"RecordedDate","ResponseId","Participant.ID","Current.classes","Current.classes_4_TEXT","Previous.classes","Previous.classes_4_TEXT","OS","OS_4_TEXT","Computer.age","Laptop.issues","EssayProduceAGraph","EssayLearningR","EssayRBenefits","Age","Gender","Race","Ethnicity","Major","Academic.standing","Categories_1","Categories_2","Categories_3","Categories_4","High.school.math","High.school.particip","R.use.1_1","R.use.2_1","Anxiety.1_1","Anxiety.1_2","Anxiety.2_1","Anxiety.2_2","Computing.programs.1_1","Computing.programs.1_2","Computing.programs.1_3","Computing.programs.1_4","Computing.programs.2_1","Computing.programs.2_2","Computing.programs.2_3","Computing.programs.2_4","R.skills.1_1","R.skills.1_2","R.skills.1_3","R.skills.1_4","R.skills.1_5","R.skills.1_6","R.skills.1_7","R.skills.1_8","R.skills.1_9","R.skills.1_10","R.skills.2_1","R.skills.2_2","R.skills.2_3","R.skills.2_4","R.skills.2_5","R.skills.2_6","R.skills.2_7","R.skills.2_8","R.skills.2_9","R.skills.2_10","Math.skills.1_1","Math.skills.1_2","Math.skills.1_3","Math.skills.1_4","Math.skills.1_5","Math.skills.1_6","Math.skills.1_7","Math.skills.1_8","Math.skills.2_1","Math.skills.2_2","Math.skills.2_3","Math.skills.2_4","Math.skills.2_5","Math.skills.2_6","Math.skills.2_7","Math.skills.2_8","External.help_1","External.help_2","External.help_3","Perseverance","Computer.savviness","Effort","Engagement","Future.classes.1_1","Future.classes.2_1","Job.search","Dream.job","Foundational","PopEco","Quant","Found_current","Advanced_current","Advanced_previous","took_advanced_concurrent","took_R_before_advanced","group_5","group_3","group_4","Anxiety_pre","Anxiety_post","Math_skills_pre","Math_skills_post","Computing_pre","Computing_post","Anxiety_change","Math_skills_change","Computing_change","class_number"
"12/2/24 11:58","R_7DnKvgHKdzBU945","00a378fb","Introduction to Wildlife Population Ecology (WIS 4501),Quantitative Wildlife Ecology (WIS 4601)","","Introduction to Wildlife Population Ecology (WIS 4501),Quantitative Wildlife Ecology (WIS 4601)","","Windows","","0 - 2 years old","Sometimes","ggplot(data, x,y) 
or I would plot(data) depending on what I working on","Understanding everything that going on a function","I see several benefits including a higher pay in the job market, easy way to get through large datasets for research. ","21","Female","White or Caucasian,Prefer not to say","No","WEC","Senior","Yes","No","No","No","No","No",2,4,5,5,4,5,2,2,1,1,3,2,1,1,4,3,2,1,2,2,2,2,2,2,NA,NA,3,2,4,3,4,3,3,3,2,1,1,1,2,1,1,1,2,3,3,2,2,3,2,3,"1","4","2","5","1","5","4","1","2","4","3",0,1,1,FALSE,TRUE,TRUE,FALSE,FALSE,"Quant and Pop Eco","Quant and/or Pop Eco only","Advanced only",1,1.5,1.25,2.5,2.16666666666667,3.2,0.5,1.25,1.03333333333333,1
"4/10/24 13:11","R_75sID0OkdTXb0Bq","03729e35","Computational Problem Solving in Wildlife Ecology Using R (WIS 4934)","","","","Windows","","0 - 2 years old","Sometimes","I would probably use ggplot in R","The way R is taught in a lot of other classes, you’re given code to use, but it’s never fully explained. That’s been my biggest challenge in learning R, but this class helped a lot by starting with the basics","I feel like learning R in undergrad will help give me a leg up when I’m applying to graduate school. I also was able to get a job for post grad because I have experience working with coding","21","Female","White or Caucasian","No","Zoology","Senior","No","No","Yes","Yes","No","No",4,5,4,3,3,3,2,3,1,1,3,3,2,1,3,2,2,1,1,2,1,3,2,1,4,3,4,3,3,3,3,4,3,2,3,3,3,2,1,1,3,3,3,3,3,3,2,2,3,3,"2","2","3","5","3","3","3","3","4","4","4",1,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,"Foundational only","Foundational only","Foundational only",2.5,3,2.375,2.75,2,3.33333333333333,0.5,0.375,1.33333333333333,1
"4/10/24 13:14","R_571lPzwWzzAdRIc","0b417575","Computational Problem Solving in Wildlife Ecology Using R (WIS 4934),Quantitative Wildlife Ecology (WIS 4601)","","","","Windows","","0 - 2 years old","Rarely","In Rstudio, I would:
-import the required data using read.table or read.csv depending on the file type
-define the parameters I desire as a dataset using data=somedata$example etc.
-use plot(data)","Time. There is so much to learn it feels like we only scratched the surface in this course","R is a useful tool for data analyzation. I hope it will be used in my future career ","28","Male","White or Caucasian","No","Wildlife Ecology and Conservation","Senior","Yes","","Yes","","No","No",1,4,2,2,1,2,1,2,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,5,3,5,3,4,4,3,4,3,3,3,4,2,1,1,1,2,3,3,4,3,3,3,3,3,3,"4","5","3","3","4","3","3","1","2","4","2",1,0,1,TRUE,TRUE,FALSE,TRUE,FALSE,"Foundational and Quant or Pop Eco","Foundational and an advanced course","Foundational concurrent with advanced",4,4.5,2.125,3.125,1,3.66666666666667,0.5,1,2.66666666666667,1
"12/4/24 8:51","R_13yvyzxxBEDs3Uq","0bac740a","Computational Problem Solving in Wildlife Ecology Using R (WIS 4934),Introduction to Wildlife Population Ecology (WIS 4501)","","Quantitative Wildlife Ecology (WIS 4601)","","Windows","","2 - 4 years old","Rarely","I would still use Excel/Powerpoint/word for graphs unless it was a scientific paper","Time, it’s hard to make time for assignments while balancing all my other classes","It’s good for math, stats, graphs, and quantitative analysis ","21","Male","White or Caucasian","No","Wildlife ecology and conservation ","Senior","No","No","No","Yes","I'm not sure","No",1,3,5,5,3,4,2,3,1,1,3,3,1,1,3,2,3,2,2,1,2,4,3,1,4,2,4,2,3,1,3,4,3,1,4,4,2,2,3,2,2,2,4,4,2,2,3,3,2,3,"4","3","2","3","3","3","3","3","2","2","2",1,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,"Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational concurrent with advanced",1,2.5,2.625,2.875,2.16666666666667,2.75,1.5,0.25,0.583333333333333,1
"4/11/24 12:28","R_5qrdMH04vd756fh","0bac740a","Quantitative Wildlife Ecology (WIS 4601)","","","","Windows","","2 - 4 years old","Rarely","If it was an easy graph I would still use google docs or Excel because I still find those easier at this point. A more advanced graph or one that used more scientific data would be better to make in R. I know the plot, barplot, and hist functions fairly well and could make graphs with those. The other types of graphs I could also do as long as we did them in class because I downloaded all the lab assignments.","I just need more time to practice. I also need to be forced to practice because I won’t want to do it in my free time. Having to write my own code has been the most helpful way of learning it.","It would make you very competitive I think in the job market. Also if you ever needed to take a remote job for a while, being able to use R is probably a good way to secure that.","20","Male","White or Caucasian","No","Wildlife Ecology and Conservation ","Junior","No","No","No","Yes","Yes","Yes",1,4,5,5,4,5,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,1,3,3,3,4,3,1,3,3,2,2,2,2,1,2,3,4,4,3,3,3,2,3,"5","2","2","2","3","3","4","1","3","5","3",1,1,1,FALSE,TRUE,FALSE,TRUE,FALSE,"Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational concurrent with advanced",1,1.5,2.125,3.125,1,2.83333333333333,0.5,1,1.83333333333333,2
"4/10/24 13:17","R_7MMwN8miTt5C6Od","133752","Computational Problem Solving in Wildlife Ecology Using R (WIS 4934)","","","","Mac","","0 - 2 years old","Rarely","","","","21","Male","White or Caucasian","No","Wildlife Ecology & Conservation","Junior","Yes","No","No","No","Yes","Yes",3,5,3,2,2,2,1,3,1,1,4,3,3,1,1,1,1,1,1,1,1,1,1,1,5,5,4,4,4,5,3,4,3,3,2,1,1,1,1,1,1,3,4,3,3,3,4,4,3,4,"4","5","5","4","4","3","5","","","4","4",1,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,"Foundational only","Foundational only","Foundational only",3.5,4,1.375,3.5,1.16666666666667,4.08333333333333,0.5,2.125,2.91666666666667,1
"12/4/24 15:28","R_6iqivNiwpdME0p3","14dbf9be","Introduction to Wildlife Population Ecology (WIS 4501),Other","Introduction to Applied Statistics","Computational Problem Solving in Wildlife Ecology Using R (WIS 4934),Quantitative Wildlife Ecology (WIS 4601)","","Windows","","0 - 2 years old","Never","I would use the ggplot package in R to create a graph ","Previously I felt like I didn’t have a lot of computer science experience and that made me feel unsure about using R but I am more confident now after taking a class on R and a few classes that have used it ","Being able to pursue a quantitative ecology-related field in the future and having more jobs available to me because of having skills in R","21","Female","White or Caucasian","No","Wildlife Ecology and Conservation","Senior","No","No","No","No","No","No",5,5,2,2,2,2,3,3,2,1,3,3,2,1,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"3","3","3","3","2","2","3","5","5","5","5",1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,"Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational concurrent with advanced",4,4,3,3,3.08333333333333,3.08333333333333,0,0,0,1
"4/10/24 13:14","R_3V7x1PnG1Chv3KW","14dbf9be","Computational Problem Solving in Wildlife Ecology Using R (WIS 4934),Quantitative Wildlife Ecology (WIS 4601)","","","","Windows","","0 - 2 years old","Rarely","I would use the ggplot2 package in R and the normal function for whatever graph desired (hist, barplot, etc.) with the variables (x,y), and labels for the main title, x-axis, and y-axis, and whatever desired colors. ","I'm not very tech-savy","More job opportunities involving R
More possibilities for research and data analysis being able to use R","20","Female","White or Caucasian","No","Wildlife Ecology and Conservation","Junior","No","No","No","No","No","No",4,5,3,2,1,2,2,3,1,1,4,3,1,1,1,1,2,1,1,2,1,1,2,1,4,4,4,4,4,4,4,4,4,2,2,4,2,1,1,1,1,1,3,4,3,3,3,3,3,3,"3","5","2","4","2","3","4","2","4","5","4",1,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,"Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational concurrent with advanced",3.5,4.5,1.625,3.125,1.58333333333333,3.91666666666667,1,1.5,2.33333333333333,2
"12/2/25 9:47","R_5X8rXYIb3NpVnSV","1eeb4ea7","Introduction to Wildlife Population Ecology (WIS 4501)","","Quantitative Wildlife Ecology (WIS 4601)","","Mac","","2 - 4 years old","Rarely","Using Rstudio","None. There are a lot of different ways to do something, but there is information and tutorials online. ","Being able to visually interpret data and present it to others in a clear way. Also being able to predict how populations will react to changes. ","22","Female","White or Caucasian","Yes","Wildlife Ecology & Conservation","Senior","Yes","No","Yes","Yes","No","No",5,5,2,2,1,2,2,3,2,1,3,3,2,1,4,3,3,1,3,3,2,5,3,1,5,3,5,3,4,4,3,5,4,1,3,4,3,2,2,2,2,2,4,4,4,4,4,4,3,4,"5","5","3","5","4","4","5","5","5","5","5",0,1,1,FALSE,TRUE,TRUE,FALSE,FALSE,"Quant and Pop Eco","Quant and/or Pop Eco only","Advanced only",4,4.5,2.5,3.875,2.91666666666667,3.75,0.5,1.375,0.833333333333333,1
"12/2/24 11:24","R_3gUtEr6ow1ynAVK","22192819","Introduction to Wildlife Population Ecology (WIS 4501)","","Quantitative Wildlife Ecology (WIS 4601)","","Windows","","0 - 2 years old","Rarely","Most likely using R. I do not know much about other coding programs, so R would be the best way to go considering my previous instruction with it. I would look over past assignments to see what code I need as well as google what other commands and packages there are. Likewise I would ask the PhD student in my lab for help. ","I feel like it’s very finicky, and not well known. My partner is really into computer science and coding, and they don’t understand R very well at all and say that it’s not too great of a program. I know it gets the job done for wildlife studies, but a comprehensive and easy guide for it would be so helpful considering I have nobody I can call at 1 am to help me. ","I think R is pretty good for just doing wildlife type stuff. Though Python would probably be easier, I think that because R is so focused on scientific uses, it’s easier to have something like that. One track mind. ","21","Female","White or Caucasian","No","Wildlife Ecology and Conservation ","Senior","No","No","No","No","Yes","No",2,4,5,3,3,2,2,2,1,1,3,3,1,1,2,2,3,1,2,1,2,1,2,1,3,3,4,2,3,3,3,3,2,2,3,3,3,2,2,3,3,3,4,4,4,3,3,4,4,4,"4","3","3","2","2","4","4","2","3","3","2",0,1,1,FALSE,TRUE,TRUE,FALSE,FALSE,"Quant and Pop Eco","Quant and/or Pop Eco only","Advanced only",2,3.5,2.75,3.75,1.75,2.91666666666667,1.5,1,1.16666666666667,1
