"Participant.ID","class_number","Foundational","PopEco","Quant","group_5","group_3","group_4","metric","time","score","time_numeric","student_id"
"00a378fb",1,"No Foundation","PopEco","Quant","Quant and Pop Eco","Quant and/or Pop Eco only","Advanced only","Anxiety","pre",1,0,"00a378fb"
"00a378fb",1,"No Foundation","PopEco","Quant","Quant and Pop Eco","Quant and/or Pop Eco only","Advanced only","Anxiety","post",1.5,1,"00a378fb"
"00a378fb",1,"No Foundation","PopEco","Quant","Quant and Pop Eco","Quant and/or Pop Eco only","Advanced only","Math Skills","pre",1.25,0,"00a378fb"
"00a378fb",1,"No Foundation","PopEco","Quant","Quant and Pop Eco","Quant and/or Pop Eco only","Advanced only","Math Skills","post",2.5,1,"00a378fb"
"00a378fb",1,"No Foundation","PopEco","Quant","Quant and Pop Eco","Quant and/or Pop Eco only","Advanced only","Computing","pre",2.16666666666667,0,"00a378fb"
"00a378fb",1,"No Foundation","PopEco","Quant","Quant and Pop Eco","Quant and/or Pop Eco only","Advanced only","Computing","post",3.2,1,"00a378fb"
"03729e35",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Anxiety","pre",2.5,0,"03729e35"
"03729e35",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Anxiety","post",3,1,"03729e35"
"03729e35",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Math Skills","pre",2.375,0,"03729e35"
"03729e35",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Math Skills","post",2.75,1,"03729e35"
"03729e35",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Computing","pre",2,0,"03729e35"
"03729e35",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Computing","post",3.33333333333333,1,"03729e35"
"0b417575",1,"Foundation","No PopEco","Quant","Foundational and Quant or Pop Eco","Foundational and an advanced course","Foundational concurrent with advanced","Anxiety","pre",4,0,"0b417575"
"0b417575",1,"Foundation","No PopEco","Quant","Foundational and Quant or Pop Eco","Foundational and an advanced course","Foundational concurrent with advanced","Anxiety","post",4.5,1,"0b417575"
"0b417575",1,"Foundation","No PopEco","Quant","Foundational and Quant or Pop Eco","Foundational and an advanced course","Foundational concurrent with advanced","Math Skills","pre",2.125,0,"0b417575"
"0b417575",1,"Foundation","No PopEco","Quant","Foundational and Quant or Pop Eco","Foundational and an advanced course","Foundational concurrent with advanced","Math Skills","post",3.125,1,"0b417575"
"0b417575",1,"Foundation","No PopEco","Quant","Foundational and Quant or Pop Eco","Foundational and an advanced course","Foundational concurrent with advanced","Computing","pre",1,0,"0b417575"
"0b417575",1,"Foundation","No PopEco","Quant","Foundational and Quant or Pop Eco","Foundational and an advanced course","Foundational concurrent with advanced","Computing","post",3.66666666666667,1,"0b417575"
"0bac740a",1,"Foundation","PopEco","Quant","Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational concurrent with advanced","Anxiety","pre",1,0,"0bac740a"
"0bac740a",1,"Foundation","PopEco","Quant","Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational concurrent with advanced","Anxiety","post",2.5,1,"0bac740a"
"0bac740a",1,"Foundation","PopEco","Quant","Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational concurrent with advanced","Math Skills","pre",2.625,0,"0bac740a"
